event_name,requirement_id,requirement_text,basis_type,basis_name,basis_locator,basis_url,check_status,checked_at,checked_by,neutrality_note,remarks,row_id
雇用契約の更新,LH-REQ-CONT03-001,雇用契約更新時の有期労働契約該当性,law,労働契約法,第14条／第18条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000179
雇用契約の更新,LH-REQ-CONT03-002,雇用契約更新の有無および更新条件の明示状況,law,労働契約法,第14条／第18条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000180
雇用契約の更新,LH-REQ-CONT03-003,雇用契約更新時の更新回数または通算契約期間の取扱整理状況,law,労働契約法,第14条／第18条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000181
雇用契約の更新,LH-REQ-CONT03-004,有期労働契約更新不実施判断の合理性および相当性,law,労働契約法,第14条／第18条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000182
雇用契約の更新,LH-REQ-CONT03-005,有期労働契約通算5年超時の無期転換取扱整理状況,law,労働契約法,第14条／第18条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000183
雇用契約の更新,LH-REQ-CONT03-006,雇用契約更新後の契約期間の法定上限適合性,law,労働基準法,第14条／第15条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000184
雇用契約の更新,LH-REQ-CONT03-007,雇用契約更新後の契約期間の定めの内容,law,労働基準法,第14条／第15条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000185
雇用契約の更新,LH-REQ-CONT03-008,雇用契約更新後に適用される賃金に関する労働条件の明示状況,law,労働基準法,第14条／第15条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000186
雇用契約の更新,LH-REQ-CONT03-009,雇用契約更新後に適用される労働時間に関する労働条件の明示状況,law,労働基準法,第14条／第15条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000187
雇用契約の更新,LH-REQ-CONT03-010,雇用契約更新後に適用される就業場所および業務内容の明示状況,law,労働基準法,第14条／第15条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000188
雇用契約の更新,LH-REQ-CONT03-011,雇用契約更新に伴う労働条件変更内容の書面明示状況,law,労働基準法,第14条／第15条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000189
雇用契約の更新,LH-REQ-CONT03-012,雇用契約更新時における性別差別的取扱いの有無,law,男女雇用機会均等法,第6条,https://laws.e-gov.go.jp/law/347AC0000000113/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000190
雇用契約の更新,LH-REQ-CONT03-013,雇用契約更新可否または更新条件判断における性別基準の有無,law,男女雇用機会均等法,第6条,https://laws.e-gov.go.jp/law/347AC0000000113/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000191
雇用契約の更新,LH-REQ-CONT03-014,雇用契約更新後の労働条件における性別不利益差の有無,law,男女雇用機会均等法,第6条,https://laws.e-gov.go.jp/law/347AC0000000113/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000192
雇用契約の更新,LH-REQ-CONT03-015,雇用契約更新に関する説明等における性別差別的表現の有無,law,男女雇用機会均等法,第6条,https://laws.e-gov.go.jp/law/347AC0000000113/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000193
