audit_id,audit_name,audit_period,audit_scope_note,event_name,requirement_id,requirement_text,basis_type,basis_name,basis_locator,basis_url,check_status,checked_at,checked_by,neutrality_note,remarks,row_id
,,,,注意指導を行う,LH-REQ-DISC04-001,注意指導の労働者及び事業者の信義に従った実施,law,労働契約法,第3条／第5条／第7条,https://laws.e-gov.go.jp/law/417AC0000000128,,,,本行は要件の列挙であり判断を含まない,,LH-000848
,,,,注意指導を行う,LH-REQ-DISC04-002,注意指導の労働条件その他の取扱いに関する公正前提による実施,law,労働契約法,第3条／第5条／第7条,https://laws.e-gov.go.jp/law/417AC0000000128,,,,本行は要件の列挙であり判断を含まない,,LH-000849
,,,,注意指導を行う,LH-REQ-DISC04-003,注意指導の労働者の生命・身体及び健康への配慮に基づく実施,law,労働契約法,第3条／第5条／第7条,https://laws.e-gov.go.jp/law/417AC0000000128,,,,本行は要件の列挙であり判断を含まない,,LH-000850
,,,,注意指導を行う,LH-REQ-DISC04-004,注意指導の方法又は内容における労働者の心身の安全への支障のおそれの不存在,law,労働契約法,第3条／第5条／第7条,https://laws.e-gov.go.jp/law/417AC0000000128,,,,本行は要件の列挙であり判断を含まない,,LH-000851
,,,,注意指導を行う,LH-REQ-DISC04-005,注意指導に関する就業規則の定めに基づく指導の実施,law,労働契約法,第3条／第5条／第7条,https://laws.e-gov.go.jp/law/417AC0000000128,,,,本行は要件の列挙であり判断を含まない,,LH-000852
,,,,注意指導を行う,LH-REQ-DISC04-006,注意指導に関する就業規則の労働者への周知,law,労働契約法,第3条／第5条／第7条,https://laws.e-gov.go.jp/law/417AC0000000128,,,,本行は要件の列挙であり判断を含まない,,LH-000853
,,,,注意指導を行う,LH-REQ-DISC04-007,注意指導に関する事項の就業規則記載事項該当性,law,労働基準法,第89条,https://laws.e-gov.go.jp/law/322AC0000000049,,,,本行は要件の列挙であり判断を含まない,,LH-000854
,,,,注意指導を行う,LH-REQ-DISC04-008,注意指導に関する定めを含む就業規則作成又は変更時の所轄労働基準監督署への届出,law,労働基準法,第89条,https://laws.e-gov.go.jp/law/322AC0000000049,,,,本行は要件の列挙であり判断を含まない,,LH-000855
,,,,注意指導を行う,LH-REQ-DISC04-009,注意指導における性別差別取扱いの有無,law,男女雇用機会均等法,第8条,https://laws.e-gov.go.jp/law/347AC0000000113,,,,本行は要件の列挙であり判断を含まない,,LH-000856
,,,,注意指導を行う,LH-REQ-DISC04-010,注意指導の対象・内容又は方法における性別を理由とする不利益取扱いの有無,law,男女雇用機会均等法,第8条,https://laws.e-gov.go.jp/law/347AC0000000113,,,,本行は要件の列挙であり判断を含まない,,LH-000857
