audit_id,audit_name,audit_period,audit_scope_note,event_name,requirement_id,requirement_text,basis_type,basis_name,basis_locator,basis_url,check_status,checked_at,checked_by,neutrality_note,remarks,row_id
,,,,募集内容を修正する,LH-REQ-HIRE08-001,修正後の労働条件内容,law,職業安定法,第5条の3／第5条の4,https://laws.e-gov.go.jp/law/322AC0000000141,,,,本行は要件の列挙であり判断を含まない,,LH-000465
,,,,募集内容を修正する,LH-REQ-HIRE08-002,求職者に対する労働条件明示の有無,law,職業安定法,第5条の3／第5条の4,https://laws.e-gov.go.jp/law/322AC0000000141,,,,本行は要件の列挙であり判断を含まない,,LH-000466
,,,,募集内容を修正する,LH-REQ-HIRE08-003,明示された労働条件と事実との一致状況,law,職業安定法,第5条の3／第5条の4,https://laws.e-gov.go.jp/law/322AC0000000141,,,,本行は要件の列挙であり判断を含まない,,LH-000467
,,,,募集内容を修正する,LH-REQ-HIRE08-004,誤解を生じさせる表示の有無,law,職業安定法,第5条の3／第5条の4,https://laws.e-gov.go.jp/law/322AC0000000141,,,,本行は要件の列挙であり判断を含まない,,LH-000468
,,,,募集内容を修正する,LH-REQ-HIRE08-005,修正後募集内容における虚偽表示の有無,law,職業安定法,第5条の3／第5条の4,https://laws.e-gov.go.jp/law/322AC0000000141,,,,本行は要件の列挙であり判断を含まない,,LH-000469
,,,,募集内容を修正する,LH-REQ-HIRE08-006,実際の労働条件との不一致表示の有無,law,職業安定法,第5条の3／第5条の4,https://laws.e-gov.go.jp/law/322AC0000000141,,,,本行は要件の列挙であり判断を含まない,,LH-000470
,,,,募集内容を修正する,LH-REQ-HIRE08-007,求職者に誤解を生じさせる表示の有無,law,職業安定法,第5条の3／第5条の4,https://laws.e-gov.go.jp/law/322AC0000000141,,,,本行は要件の列挙であり判断を含まない,,LH-000471
,,,,募集内容を修正する,LH-REQ-HIRE08-008,修正後募集内容に含まれる労働条件,law,職業安定法施行規則,第4条の2,https://laws.e-gov.go.jp/law/322M40000100012,,,,本行は要件の列挙であり判断を含まない,,LH-000472
,,,,募集内容を修正する,LH-REQ-HIRE08-009,明示すべき労働条件事項の欠落有無,law,職業安定法施行規則,第4条の2,https://laws.e-gov.go.jp/law/322M40000100012,,,,本行は要件の列挙であり判断を含まない,,LH-000473
,,,,募集内容を修正する,LH-REQ-HIRE08-010,規則所定方法による労働条件明示状況,law,職業安定法施行規則,第4条の2,https://laws.e-gov.go.jp/law/322M40000100012,,,,本行は要件の列挙であり判断を含まない,,LH-000474
,,,,募集内容を修正する,LH-REQ-HIRE08-011,修正後募集内容における性別差別的取扱いの有無,law,男女雇用機会均等法,第5条／第6条,https://laws.e-gov.go.jp/law/347AC0000000113,,,,本行は要件の列挙であり判断を含まない,,LH-000475
,,,,募集内容を修正する,LH-REQ-HIRE08-012,性別を理由とする不利益条件の有無,law,男女雇用機会均等法,第5条／第6条,https://laws.e-gov.go.jp/law/347AC0000000113,,,,本行は要件の列挙であり判断を含まない,,LH-000476
,,,,募集内容を修正する,LH-REQ-HIRE08-013,修正後募集条件の男女均等性,law,男女雇用機会均等法,第5条／第6条,https://laws.e-gov.go.jp/law/347AC0000000113,,,,本行は要件の列挙であり判断を含まない,,LH-000477
,,,,募集内容を修正する,LH-REQ-HIRE08-014,募集・採用条件における性別限定の有無,law,男女雇用機会均等法,第5条／第6条,https://laws.e-gov.go.jp/law/347AC0000000113,,,,本行は要件の列挙であり判断を含まない,,LH-000478
,,,,募集内容を修正する,LH-REQ-HIRE08-015,修正後募集情報の事実適合性,law,青少年の雇用の促進等に関する法律,第11条,https://laws.e-gov.go.jp/law/445AC0000000098,,,,本行は要件の列挙であり判断を含まない,,LH-000479
,,,,募集内容を修正する,LH-REQ-HIRE08-016,青少年に誤解を生じさせるおそれのある表示の有無,law,青少年の雇用の促進等に関する法律,第11条,https://laws.e-gov.go.jp/law/445AC0000000098,,,,本行は要件の列挙であり判断を含まない,,LH-000480
,,,,募集内容を修正する,LH-REQ-HIRE08-017,募集情報表示の的確性,law,青少年の雇用の促進等に関する法律,第11条,https://laws.e-gov.go.jp/law/445AC0000000098,,,,本行は要件の列挙であり判断を含まない,,LH-000481
