audit_id,audit_name,audit_period,audit_scope_note,event_name,requirement_id,requirement_text,basis_type,basis_name,basis_locator,basis_url,check_status,checked_at,checked_by,neutrality_note,remarks,row_id
,,,,特別休暇を設ける,LH-REQ-LEAVE04-001,特別休暇に関する定めの就業規則記載事項該当性,law,労働基準法,第89条,https://laws.e-gov.go.jp/law/322AC0000000049,,,,本行は要件の列挙であり判断を含まない,,LH-000745
,,,,特別休暇を設ける,LH-REQ-LEAVE04-002,就業規則における特別休暇内容の定め,law,労働基準法,第89条,https://laws.e-gov.go.jp/law/322AC0000000049,,,,本行は要件の列挙であり判断を含まない,,LH-000746
,,,,特別休暇を設ける,LH-REQ-LEAVE04-003,就業規則作成又は変更時の所轄労働基準監督署への届出,law,労働基準法,第89条,https://laws.e-gov.go.jp/law/322AC0000000049,,,,本行は要件の列挙であり判断を含まない,,LH-000747
,,,,特別休暇を設ける,LH-REQ-LEAVE04-004,就業規則における休日又は休暇に関する事項としての特別休暇の包含,law,労働基準法施行規則,第54条,https://laws.e-gov.go.jp/law/322M40000100023,,,,本行は要件の列挙であり判断を含まない,,LH-000748
,,,,特別休暇を設ける,LH-REQ-LEAVE04-005,特別休暇の付与条件又は取得方法の就業規則記載,law,労働基準法施行規則,第54条,https://laws.e-gov.go.jp/law/322M40000100023,,,,本行は要件の列挙であり判断を含まない,,LH-000749
,,,,特別休暇を設ける,LH-REQ-LEAVE04-006,特別休暇に関する就業規則の労働者への周知,law,労働契約法,第7条／第10条,https://laws.e-gov.go.jp/law/417AC0000000128,,,,本行は要件の列挙であり判断を含まない,,LH-000750
,,,,特別休暇を設ける,LH-REQ-LEAVE04-007,周知された就業規則内容の労働契約内容への反映,law,労働契約法,第7条／第10条,https://laws.e-gov.go.jp/law/417AC0000000128,,,,本行は要件の列挙であり判断を含まない,,LH-000751
,,,,特別休暇を設ける,LH-REQ-LEAVE04-008,特別休暇新設の労働条件変更該当性,law,労働契約法,第7条／第10条,https://laws.e-gov.go.jp/law/417AC0000000128,,,,本行は要件の列挙であり判断を含まない,,LH-000752
,,,,特別休暇を設ける,LH-REQ-LEAVE04-009,労働条件変更内容の合理性,law,労働契約法,第7条／第10条,https://laws.e-gov.go.jp/law/417AC0000000128,,,,本行は要件の列挙であり判断を含まない,,LH-000753
,,,,特別休暇を設ける,LH-REQ-LEAVE04-010,特別休暇の付与条件又は対象における性別差別の有無,law,男女雇用機会均等法,第8条,https://laws.e-gov.go.jp/law/347AC0000000113,,,,本行は要件の列挙であり判断を含まない,,LH-000754
,,,,特別休暇を設ける,LH-REQ-LEAVE04-011,性別を理由とする不利益取扱いの定めの有無,law,男女雇用機会均等法,第8条,https://laws.e-gov.go.jp/law/347AC0000000113,,,,本行は要件の列挙であり判断を含まない,,LH-000755
