audit_id,audit_name,audit_period,audit_scope_note,event_name,requirement_id,requirement_text,basis_type,basis_name,basis_locator,basis_url,check_status,checked_at,checked_by,neutrality_note,remarks,row_id
,,,,人事評価制度を設計する,LH-REQ-MOVE07-001,人事評価制度に関する定めの就業規則記載事項該当性,law,労働基準法,第89条,https://laws.e-gov.go.jp/law/322AC0000000049,,,,本行は要件の列挙であり判断を含まない,,LH-000798
,,,,人事評価制度を設計する,LH-REQ-MOVE07-002,就業規則における人事評価に関する事項の定め,law,労働基準法,第89条,https://laws.e-gov.go.jp/law/322AC0000000049,,,,本行は要件の列挙であり判断を含まない,,LH-000799
,,,,人事評価制度を設計する,LH-REQ-MOVE07-003,就業規則作成又は変更時の所轄労働基準監督署への届出,law,労働基準法,第89条,https://laws.e-gov.go.jp/law/322AC0000000049,,,,本行は要件の列挙であり判断を含まない,,LH-000800
,,,,人事評価制度を設計する,LH-REQ-MOVE07-004,就業規則における賃金又は昇給等に関係する事項としての人事評価関連規定の包含,law,労働基準法施行規則,第54条,https://laws.e-gov.go.jp/law/322M40000100023,,,,本行は要件の列挙であり判断を含まない,,LH-000801
,,,,人事評価制度を設計する,LH-REQ-MOVE07-005,人事評価制度が賃金その他の労働条件に影響する場合の就業規則への反映,law,労働基準法施行規則,第54条,https://laws.e-gov.go.jp/law/322M40000100023,,,,本行は要件の列挙であり判断を含まない,,LH-000802
,,,,人事評価制度を設計する,LH-REQ-MOVE07-006,人事評価制度の労働者と事業者の信義に基づく内容,law,労働契約法,第3条／第7条／第10条,https://laws.e-gov.go.jp/law/417AC0000000128,,,,本行は要件の列挙であり判断を含まない,,LH-000803
,,,,人事評価制度を設計する,LH-REQ-MOVE07-007,人事評価制度の労働条件決定に関する公正取扱い前提,law,労働契約法,第3条／第7条／第10条,https://laws.e-gov.go.jp/law/417AC0000000128,,,,本行は要件の列挙であり判断を含まない,,LH-000804
,,,,人事評価制度を設計する,LH-REQ-MOVE07-008,人事評価制度を定めた就業規則の労働者への周知,law,労働契約法,第3条／第7条／第10条,https://laws.e-gov.go.jp/law/417AC0000000128,,,,本行は要件の列挙であり判断を含まない,,LH-000805
,,,,人事評価制度を設計する,LH-REQ-MOVE07-009,周知された就業規則内容の労働契約内容化要件の充足,law,労働契約法,第3条／第7条／第10条,https://laws.e-gov.go.jp/law/417AC0000000128,,,,本行は要件の列挙であり判断を含まない,,LH-000806
,,,,人事評価制度を設計する,LH-REQ-MOVE07-010,人事評価制度の新設又は変更の労働条件変更該当性,law,労働契約法,第3条／第7条／第10条,https://laws.e-gov.go.jp/law/417AC0000000128,,,,本行は要件の列挙であり判断を含まない,,LH-000807
,,,,人事評価制度を設計する,LH-REQ-MOVE07-011,労働条件変更内容の合理性,law,労働契約法,第3条／第7条／第10条,https://laws.e-gov.go.jp/law/417AC0000000128,,,,本行は要件の列挙であり判断を含まない,,LH-000808
,,,,人事評価制度を設計する,LH-REQ-MOVE07-012,人事評価制度における性別差別の有無,law,男女雇用機会均等法,第5条,https://laws.e-gov.go.jp/law/347AC0000000113,,,,本行は要件の列挙であり判断を含まない,,LH-000809
,,,,人事評価制度を設計する,LH-REQ-MOVE07-013,性別を理由とする評価基準又は評価結果の差の有無,law,男女雇用機会均等法,第5条,https://laws.e-gov.go.jp/law/347AC0000000113,,,,本行は要件の列挙であり判断を含まない,,LH-000810
