event_name,requirement_id,requirement_text,basis_type,basis_name,basis_locator,basis_url,check_status,checked_at,checked_by,neutrality_note,remarks,row_id
雇用契約の終了,LH-REQ-TERM01-001,解雇による契約終了時の解雇予告または解雇予告手当の実施状況,law,労働基準法,第20条／第22条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000194
雇用契約の終了,LH-REQ-TERM01-002,解雇予告不要事由の法令該当性,law,労働基準法,第20条／第22条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000195
雇用契約の終了,LH-REQ-TERM01-003,解雇理由証明書の交付状況,law,労働基準法,第20条／第22条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000196
雇用契約の終了,LH-REQ-TERM01-004,契約終了時の退職証明書記載事項の請求内容適合性,law,労働基準法,第20条／第22条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000197
雇用契約の終了,LH-REQ-TERM01-005,有期雇用契約終了時の契約期間の適法性,law,労働契約法,第14条／第16条／第17条／第18条／第19条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000198
雇用契約の終了,LH-REQ-TERM01-006,解雇による契約終了時の合理性および相当性,law,労働契約法,第14条／第16条／第17条／第18条／第19条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000199
雇用契約の終了,LH-REQ-TERM01-007,期間定め雇用契約の中途解約におけるやむを得ない事由の有無,law,労働契約法,第14条／第16条／第17条／第18条／第19条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000200
雇用契約の終了,LH-REQ-TERM01-008,有期労働契約通算5年超時の無期転換申込み有無の整理状況,law,労働契約法,第14条／第16条／第17条／第18条／第19条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000201
雇用契約の終了,LH-REQ-TERM01-009,雇用契約終了における権利行使理由該当性の有無,law,労働契約法,第14条／第16条／第17条／第18条／第19条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000202
雇用契約の終了,LH-REQ-TERM01-010,雇用契約終了時の性別差別的取扱いの有無,law,男女雇用機会均等法,第6条,https://laws.e-gov.go.jp/law/347AC0000000113/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000203
雇用契約の終了,LH-REQ-TERM01-011,雇用契約終了判断基準における性別条件または区別の有無,law,男女雇用機会均等法,第6条,https://laws.e-gov.go.jp/law/347AC0000000113/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000204
雇用契約の終了,LH-REQ-TERM01-012,雇用契約終了に伴う取扱いにおける性別不利益差の有無,law,男女雇用機会均等法,第6条,https://laws.e-gov.go.jp/law/347AC0000000113/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000205
雇用契約の終了,LH-REQ-TERM01-013,雇用契約終了に関する説明等における性別差別的表現の有無,law,男女雇用機会均等法,第6条,https://laws.e-gov.go.jp/law/347AC0000000113/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000206
