event_name,requirement_id,requirement_text,basis_type,basis_name,basis_locator,basis_url,check_status,checked_at,checked_by,neutrality_note,remarks,row_id
労働時間制度の導入,LH-REQ-TIME01-001,法定労働時間の範囲内設定状況,law,労働基準法,第32条／第32条の2／第32条の4／第36条／第38条の2／第38条の3／第38条の4,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000083
労働時間制度の導入,LH-REQ-TIME01-002,変形労働時間制導入時の対象期間および労働時間配分,law,労働基準法,第32条／第32条の2／第32条の4／第36条／第38条の2／第38条の3／第38条の4,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000084
労働時間制度の導入,LH-REQ-TIME01-003,変形労働時間制導入時の就業規則または労使協定における必要事項,law,労働基準法,第32条／第32条の2／第32条の4／第36条／第38条の2／第38条の3／第38条の4,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000085
労働時間制度の導入,LH-REQ-TIME01-004,フレックスタイム制導入時の清算期間および総労働時間,law,労働基準法,第32条／第32条の2／第32条の4／第36条／第38条の2／第38条の3／第38条の4,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000086
労働時間制度の導入,LH-REQ-TIME01-005,フレックスタイム制に関する就業規則等における必要事項,law,労働基準法,第32条／第32条の2／第32条の4／第36条／第38条の2／第38条の3／第38条の4,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000087
労働時間制度の導入,LH-REQ-TIME01-006,時間外労働または休日労働に関する労使協定の締結状況,law,労働基準法,第32条／第32条の2／第32条の4／第36条／第38条の2／第38条の3／第38条の4,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000088
労働時間制度の導入,LH-REQ-TIME01-007,労使協定における時間外労働および休日労働の範囲および時間数,law,労働基準法,第32条／第32条の2／第32条の4／第36条／第38条の2／第38条の3／第38条の4,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000089
労働時間制度の導入,LH-REQ-TIME01-008,事業場外労働のみなし労働時間制導入時の対象業務およびみなし労働時間,law,労働基準法,第32条／第32条の2／第32条の4／第36条／第38条の2／第38条の3／第38条の4,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000090
労働時間制度の導入,LH-REQ-TIME01-009,専門業務型裁量労働制導入時の対象業務およびみなし労働時間,law,労働基準法,第32条／第32条の2／第32条の4／第36条／第38条の2／第38条の3／第38条の4,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000091
労働時間制度の導入,LH-REQ-TIME01-010,企画業務型裁量労働制導入時の労使委員会決議事項,law,労働基準法,第32条／第32条の2／第32条の4／第36条／第38条の2／第38条の3／第38条の4,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000092
労働時間制度の導入,LH-REQ-TIME01-011,労働時間制度導入に伴う労働条件変更時の合意成立状況,law,労働契約法,第8条／第9条／第10条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000093
労働時間制度の導入,LH-REQ-TIME01-012,労働時間制度導入による就業規則変更時の周知状況,law,労働契約法,第8条／第9条／第10条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000094
労働時間制度の導入,LH-REQ-TIME01-013,就業規則変更による不利益変更時の合理性,law,労働契約法,第8条／第9条／第10条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000095
労働時間制度の導入,LH-REQ-TIME01-014,就業規則変更内容および理由の明示状況,law,労働契約法,第8条／第9条／第10条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000096
